Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
15,15,1,1501,28,028,1501028,  ®û¾­ ¯¾¡¡½µº¤,,25,277,159,2,1,1,BP-HC,29,12,SEK-PH,22,SK-PH,, 11.1 ,,319,, 106 ,38%,D. 21-50,2014
15,15,1,1501,29,029,1501029,  ®û¾­ ¯½¹õ¤,,27,245,115,2,3,2,BP-HC,29,42,SEK-PH,51,SK-PH,, 9.1 ,,320,, 245 ,100%,E. 51-100,2014
15,15,1,1501,30,030,1501030,  ®û¾­ ¥½­¿,,46,448,225,2,3,2,BP-HC,29,42,SEK-PH,61,SK-PH,, 9.7 ,,321,, 448 ,100%,E. 51-100,2014
15,15,1,1501,32,032,1501032,  ®û¾­ ¯½»õ¤,,61,488,237,2,3,2,BP-HC,29,40,SEK-PH,45,SK-PH,, 8.0 ,,322,, 104 ,21%,D. 21-50,2014
15,15,1,1501,33,033,1501033,  ®û¾­ »º¤Äì,,47,316,137,2,1,1,BP-HC,29,2,SEK-PH,5,SK-PH,, 6.7 ,,323,, 110 ,35%,B. 4-10,2014
15,15,1,1501,34,034,1501034, ®û¾­ Â­­Îº¤¹É¸¾,,133,859,407,2,1,1,BP-HC,29,1.5,SEK-PH,7,SK-PH,, 6.5 ,,324,, 199 ,23%,B. 4-10,2014
15,15,1,1501,36,036,1501036,  ®û¾­ Â²­,,309,1882,885,2,1,1,BP-HC,29,0,SEK-PH,10,SK-PH,, 6.1 ,,325,, 107 ,6%,B. 4-10,2014
15,15,1,1501,37,037,1501037,  ®û¾­ Îº¤®ö¤Œ¹É¸¨¢¼¸,,156,1084,468,2,1,1,BP-HC,29,5,SEK-PH,14,SK-PH,, 6.9 ,,326,, 359 ,33%,C. 11-20,2014
15,15,1,1501,38,038,1501038,  ®û¾­ ªº¡¦½Ïò¤,,80,606,297,2,1,1,PH,19,42,SEK-PH,42,SK-PH,, 7.6 ,,327,, 137 ,23%,D. 21-50,2014
15,15,1,1501,39,039,1501039,  ®û¾­ ª™¸,,85,618,288,2,1,1,BP-HC,29,10,SEK-PH,18,SK-PH,, 7.3 ,,328,, 43 ,7%,C. 11-20,2014
15,15,1,1501,40,040,1501040,  ®É¾­ Á®È¤,,93,747,374,2,1,1,BP-HC,29,13,SEK-PH,24,SK-PH,, 8.0 ,,329,, 160 ,21%,D. 21-50,2014
15,15,1,1501,41,041,1501041,  ®û¾­ ¯¾¡®ø­,,37,228,119,2,1,1,BP-HC,29,12,SEK-PH,20,SK-PH,, 6.2 ,,330,, 42 ,18%,C. 11-20,2014
15,15,1,1501,42,042,1501042,  ®û¾­ ¡½Â©­ÃÏú,,17,212,110,2,1,1,DC-HC,30,1,SEK-PH,10,SK-PH,, 12.5 ,,331,, 66 ,31%,B. 4-10,2014
