"","PreID","GeoID","NoAssist","All"
"Mother_Child_Last_diarhea_Received_Helpful",39,55,65,159
"Mother_Child_Last_respiratory_First_treatment_Helpful",52,58,112,222
"Mother_Child_Last_fever_First_treatment_Helpful",30,23,47,100
