"","PreID","GeoID","NoAssist","All"
"Mother_TT_immun_Card1",58,100,128,286
"Mother_TT_immun_Card2",52,90,116,258
"Mother_TT_immun_Card3",44,73,105,222
"Mother_TT_immun_Card4",29,58,91,178
"Mother_TT_immun_Card5",22,50,77,149
